t,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,label,category,session_num,source
0.0,0.021,-1.023,-0.058,-3.125,-2.75,-7.0,567.8706426587994,idle,adl,4,real_hardware
0.005,0.009,-1.023,-0.058,0.5,1.0,-3.5,567.8706426587994,idle,adl,4,real_hardware
0.01,0.007,-1.013,-0.064,-5.5,-10.0,0.125,567.8706426587994,idle,adl,4,real_hardware
0.015,0.003,-1.009,-0.07,-3.625,-7.0,-4.75,567.8756506218328,idle,adl,4,real_hardware
0.02,-0.001,-1.009,-0.07,3.25,-7.0,-7.25,567.8756506218328,idle,adl,4,real_hardware
0.025,0.003,-1.011,-0.056,3.0,-12.375,6.5,567.8806586403175,idle,adl,4,real_hardware
0.03,0.0,-1.007,-0.06,-4.0,-6.0,-0.75,567.8806586403175,idle,adl,4,real_hardware
0.035,0.005,-1.011,-0.062,10.375,-2.0,0.25,567.8961241030909,idle,adl,4,real_hardware
0.04,-0.001,-1.011,-0.058,-1.125,-5.75,4.5,567.8961241030909,idle,adl,4,real_hardware
0.045,0.001,-1.015,-0.06,0.125,-3.625,-2.125,567.8961241030909,idle,adl,4,real_hardware
0.05,0.0,-1.019,-0.05,1.25,-3.5,-3.375,567.8961241030909,idle,adl,4,real_hardware
0.055,0.003,-1.013,-0.052,3.25,-4.5,1.25,567.8961241030909,idle,adl,4,real_hardware
0.06,0.005,-1.015,-0.052,10.625,8.125,1.5,567.8911159482352,idle,adl,4,real_hardware
0.065,0.003,-1.017,-0.056,9.375,-4.125,3.875,567.886107848832,idle,adl,4,real_hardware
0.07,0.003,-1.023,-0.052,0.625,-2.75,-0.125,567.886107848832,idle,adl,4,real_hardware
0.075,0.005,-1.013,-0.054,5.125,-0.375,-1.75,567.9065812831258,idle,adl,4,real_hardware
0.08,0.011,-1.019,-0.06,-3.0,-1.0,4.5,567.8911159482352,idle,adl,4,real_hardware
0.085,0.007,-1.011,-0.064,0.0,0.625,-1.375,567.9065812831258,idle,adl,4,real_hardware
0.09,0.003,-1.013,-0.06,-6.75,-0.5,7.375,567.9065812831258,idle,adl,4,real_hardware
0.095,0.007,-1.011,-0.054,1.25,-0.375,8.125,567.9065812831258,idle,adl,4,real_hardware
0.1,0.011,-1.007,-0.06,5.75,4.25,-4.0,567.8911159482352,idle,adl,4,real_hardware
0.105,0.007,-1.011,-0.052,13.0,-3.5,-1.875,567.9015730473527,idle,adl,4,real_hardware
0.11,0.007,-1.013,-0.052,-4.0,9.875,9.25,567.9015730473527,idle,adl,4,real_hardware
0.115,0.011,-1.013,-0.05,6.75,0.5,-7.0,567.9065812831258,idle,adl,4,real_hardware
0.12,0.005,-1.013,-0.054,12.375,1.125,-2.0,567.9220466265048,idle,adl,4,real_hardware
0.125,0.005,-1.015,-0.046,-3.375,1.0,0.375,567.9220466265048,idle,adl,4,real_hardware
0.13,0.011,-1.021,-0.042,10.875,2.125,-3.375,567.9065812831258,idle,adl,4,real_hardware
0.135,0.005,-1.021,-0.044,0.0,-4.5,-0.5,567.9170382543617,idle,adl,4,real_hardware
0.14,0.009,-1.017,-0.042,3.5,-1.875,-2.125,567.9015730473527,idle,adl,4,real_hardware
0.145,0.011,-1.021,-0.048,0.875,3.125,-5.75,567.886107848832,idle,adl,4,real_hardware
0.15,0.013,-1.013,-0.044,-4.25,-8.625,0.25,567.8756506218328,idle,adl,4,real_hardware
0.155,0.003,-1.019,-0.048,8.125,5.375,-0.875,567.8911159482352,idle,adl,4,real_hardware
0.16,0.009,-1.013,-0.052,5.5,0.625,2.5,567.886107848832,idle,adl,4,real_hardware
0.165,0.007,-1.009,-0.05,0.0,6.125,1.875,567.886107848832,idle,adl,4,real_hardware
0.17,0.011,-1.015,-0.054,6.0,5.25,-5.375,567.886107848832,idle,adl,4,real_hardware
0.175,0.007,-1.013,-0.056,-2.125,-1.5,-6.25,567.886107848832,idle,adl,4,real_hardware
0.18,0.005,-1.013,-0.054,7.125,0.25,-3.5,567.8911159482352,idle,adl,4,real_hardware
0.185,0.005,-1.019,-0.056,-5.75,0.625,1.375,567.8961241030909,idle,adl,4,real_hardware
0.19,0.003,-1.015,-0.06,-2.375,0.625,-0.25,567.8961241030909,idle,adl,4,real_hardware
0.195,0.013,-1.015,-0.06,2.875,2.125,0.25,567.8961241030909,idle,adl,4,real_hardware
0.2,0.015,-1.015,-0.058,1.125,4.0,-3.5,567.8961241030909,idle,adl,4,real_hardware
0.205,0.015,-1.013,-0.06,2.875,2.75,5.5,567.8961241030909,idle,adl,4,real_hardware
0.21,0.019,-1.019,-0.06,-2.5,-4.75,1.875,567.9011323133997,idle,adl,4,real_hardware
0.215,0.021,-1.011,-0.058,7.25,8.25,2.375,567.9011323133997,idle,adl,4,real_hardware
0.22,0.021,-1.011,-0.058,3.125,-0.25,-2.0,567.8856667142537,idle,adl,4,real_hardware
0.225,0.021,-1.017,-0.056,3.25,10.875,-1.125,567.8856667142537,idle,adl,4,real_hardware
0.23,0.021,-1.017,-0.052,0.375,2.125,-2.125,567.8856667142537,idle,adl,4,real_hardware
0.235,0.023,-1.015,-0.058,2.75,1.5,-3.75,567.890674843642,idle,adl,4,real_hardware
0.24,0.017,-1.019,-0.054,-3.25,5.625,0.375,567.8856667142537,idle,adl,4,real_hardware
0.245,0.013,-1.017,-0.052,9.5,4.0,2.5,567.8856667142537,idle,adl,4,real_hardware
0.25,0.013,-1.019,-0.054,1.125,-9.25,-0.75,567.8702011235965,idle,adl,4,real_hardware
