label,category,start_s,end_s,duration_s,session_num
idle,adl,0.0,1.666,1.666,10
walking,adl,1.666,83.03,81.364,10
idle_standing,adl,83.03,85.865,2.835,10
stairs_up,adl,85.865,100.498,14.633,10
idle_standing,adl,100.498,102.031,1.533,10
stairs_down,adl,102.031,116.484,14.453,10
idle_standing,adl,116.484,121.583,5.098,10
stairs_up,adl,121.583,130.955,9.372,10
idle_standing,adl,130.955,132.404,1.449,10
stairs_down,adl,132.404,142.338,9.934,10
idle_standing,adl,142.338,145.072,2.734,10
stairs_up,adl,145.072,155.03,9.958,10
idle_standing,adl,155.03,159.336,4.305,10
stairs_down,adl,159.336,170.186,10.851,10
idle_standing,adl,170.186,172.819,2.633,10
stairs_up,adl,172.819,188.931,16.111,10
idle_standing,adl,188.931,193.72,4.789,10
stairs_down,adl,193.72,208.101,14.382,10
idle_standing,adl,208.101,213.175,5.074,10
walking,adl,213.175,221.342,8.167,10
idle_standing,adl,221.342,226.67,5.328,10
walking,adl,226.67,231.613,4.944,10
idle_standing,adl,231.613,233.25,1.636,10
bending,adl,233.25,238.511,5.262,10
idle_standing,adl,238.511,241.696,3.184,10
bending,adl,241.696,246.213,4.517,10
idle_standing,adl,246.213,249.456,3.243,10
bending,adl,249.456,253.418,3.963,10
idle_standing,adl,253.418,257.218,3.8,10
bending,adl,257.218,261.435,4.217,10
idle_standing,adl,261.435,264.304,2.869,10
walking,adl,264.304,268.357,4.052,10
idle_standing,adl,268.357,269.305,0.949,10
running,adl,269.305,295.585,26.28,10
idle_standing,adl,295.585,300.746,5.161,10
running,adl,300.746,316.59,15.844,10
idle_standing,adl,316.59,318.635,2.045,10
walking,adl,318.635,326.147,7.512,10
idle_standing,adl,326.147,327.332,1.185,10
jumping,adl,327.332,335.624,8.292,10
idle_standing,adl,335.624,336.797,1.173,10
jumping,adl,336.797,340.8,4.003,10
idle_standing,adl,340.8,341.476,0.677,10
walking,adl,341.476,355.825,14.349,10
idle_standing,adl,355.825,360.092,4.267,10
sitting_slow,adl,360.092,363.887,3.795,10
standing_up,adl,363.887,367.216,3.329,10
sitting_slow,adl,367.216,371.296,4.08,10
standing_up,adl,371.296,373.189,1.893,10
idle_standing,adl,373.189,375.146,1.957,10
sitting_slow,adl,375.146,379.301,4.155,10
standing_up,adl,379.301,381.199,1.899,10
idle_standing,adl,381.199,415.31,34.11,10
sitting_slow,adl,415.31,418.527,3.217,10
standing_up,adl,418.527,421.979,3.453,10
sitting_fast,adl,421.979,426.466,4.487,10
idle_standing,adl,426.466,430.997,4.531,10
sitting_fast,adl,430.997,434.585,3.588,10
standing_up,adl,434.585,436.43,1.845,10
idle_standing,adl,436.43,438.036,1.606,10
sitting_fast,adl,438.036,442.615,4.579,10
standing_up,adl,442.615,444.779,2.164,10
idle_standing,adl,444.779,446.316,1.536,10
