session_num,filename_raw,filename_events,source,duration_s,n_events,n_falls,peak_accel_g,timestamp
1,session_001_real_raw.csv,session_001_real_events.csv,real_hardware,342.68,43,0,8.693,09-09-2026 11:52
2,session_002_real_raw.csv,session_002_real_events.csv,real_hardware,236.52,45,18,8.494,09-09-2026 14:30
3,session_003_real_raw.csv,session_003_real_events.csv,real_hardware,343.37,52,21,18.058,09-09-2026 14:49
4,session_004_real_raw.csv,session_004_real_events.csv,real_hardware,272.32,51,20,10.399,09-09-2026 14:58
5,session_005_real_raw.csv,session_005_real_events.csv,real_hardware,317.31,65,25,7.417,09-09-2026 15:06
6,session_006_real_raw.csv,session_006_real_events.csv,real_hardware,59.1,13,4,6.213,09-09-2026 15:10
7,session_007_real_raw.csv,session_007_real_events.csv,real_hardware,480.85,57,0,3.749,09-09-2026 16:05
8,session_008_real_raw.csv,session_008_real_events.csv,real_hardware,69.65,3,0,1.733,09-09-2026 16:14
9,session_009_real_raw.csv,session_009_real_events.csv,real_hardware,416.35,67,0,6.372,09-09-2026 16:22
10,session_010_real_raw.csv,session_010_real_events.csv,real_hardware,446.32,63,0,6.942,09-09-2026 16:32
